Type of AN,Date,Name of Corporate Debtor (Table),Date of Auction (Table),Name of Insolvency Professional (Table),Auction Notice URL,Reserve Price (Table),Nature of Assets (Table),Last Date of EMD (Table),Details URL
Issue of Auction Notice,04-11-2022,Shrenuj and Company Limited,29-11-2022,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-04-130626-srtpw-f2b02c543626afc89537b73510e5076d.pdf,"14,20,00,000",Office premise along...Office premise along with Plant & Machinery including Furniture and Fixtures,25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667553166_2412.pdf
Issue of Auction Notice,04-11-2022,Shrenuj and Company Limited,29-11-2022,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-04-130905-305r1-f2b02c543626afc89537b73510e5076d.pdf,"4,75,00,000",Office premise along...Office premise along with Plant & Machinery including Furniture and Fixtures,25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667553156_2413.pdf
Issue of Auction Notice,04-11-2022,Shrenuj and Company Limited,29-11-2022,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-04-131101-p5q2h-f2b02c543626afc89537b73510e5076d.pdf,"1,62,00,000",Office premise along...Office premise along with Plant & Machinery including Furniture and Fixtures,25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667553145_2414.pdf
Issue of Auction Notice,04-11-2022,Shrenuj and Company Limited,29-11-2022,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-04-131341-mgtoa-f2b02c543626afc89537b73510e5076d.pdf,"23,50,00,000",Commercial Office pr...Commercial Office premise along with Plant & Machinery including Furniture and Fixtures,25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667553127_2415.pdf
Issue of Auction Notice,04-11-2022,Shrenuj and Company Limited,29-11-2022,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-04-131622-2b641-f2b02c543626afc89537b73510e5076d.pdf,"48,60,00,000",Industrial Land & Bu...Industrial Land & Building along with Plant & Machinery including Furniture and Fixtures,25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667553115_2416.pdf
Issue of Auction Notice,04-11-2022,Max Flex & Imaging Systems Limited.,05-12-2022,Mr. Fanendra Harakchand Munot,https://ibbi.gov.in/uploads/auction_notice_liquidation/9b3bb7f7fd0c663bb6e174a52435d86b.pdf,"61,07,34,210",Commercial and Resid...Commercial and Residential Properties,02-12-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667548001_2417.pdf
Issue of Auction Notice,04-11-2022,Shrenuj and Company Limited,29-11-2022,Mr. Brijendra Kumar Mishra,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-04-131928-u6eqm-f2b02c543626afc89537b73510e5076d.pdf,"16,25,00,000",Factory Land & Build...Factory Land & Building alongwith Plant & Machinery including Furniture and Fixtures,25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667553098_2418.pdf
Corrigendum,04-11-2022,SOMANIL CHEMICALS LIMITED,25-11-2022,Mr. Vekas Kumar Garg,https://ibbi.gov.in/uploads/auction_notice_liquidation/effd47ee3f94b1f9e07f5db5742fed4a.pdf,"1,23,22,513.23","Assets such as Land ...Assets such as Land & Building situated at Plot No. H-21 (admeasuring around 780 Sq. Mtr. and Plot No. H-23 (admeasuring around 1227 Sq. Mtr.) at UPSIDC Industrial Area, Begrajpur, District Muzaffar Nagar along with Plant & Machinery and Stock-in-Trade of the Corporate Debtor as present on the above land and building. The Sale is being planned on collective basis and solely on “AS IS WHERE BASIS”, “AS IS WHAT IS” AND “WHATEVER THERE IS BASIS”.",22-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667549787_2419.pdf
Issue of Auction Notice,04-11-2022,UTILITY AGROTECH INDUSTRIES PRIVATE LIMITED,01-12-2022,Mr. Vikas Prakash Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-04-143510-yog7h-faf9dc1a71a2376de49b6a168ae84219.pdf,"4,18,43,800",Sale of Land of the...Sale of Land of the Corporate Debtor,28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667555963_2420.pdf
Issue of Auction Notice,04-11-2022,Biodiversity Conservation (India) Private Limited,09-12-2022,Mr. Amit Chandrakant Shah,https://ibbi.gov.in/uploads/auction_notice_liquidation/7de2adf1de1efa2fc3954ed2c9e006b8.pdf,"11,26,80,000","1. Residentially Con...1. Residentially Converted land of 1 Acre 10 Guntas excluding 4 Guntas Karab (Unutilised Built-up Area – Approx. 85,000 Sq. Ft.) at Kadathanamale Village, Hesarghatta Hobli, Bangalore North Taluk excluding the Club House (Built up Area – Approx. 10,000 Sq. Ft.) constructed by BCIL Red Earth Developers (India) Pvt. Ltd. on the said land. 
2. The non-agricultural lands situated at Third Space, Suradhenepura Village, Hesarghatta Hobli, Bangalore North Taluk admeasuring 7 Acres 19 Guntas.",06-12-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667569911_2421.pdf
Issue of Auction Notice,03-11-2022,MTM TRADING PRIVATE LIMITED,28-11-2022,Mr. Joby Chacko,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-03-095756-bksch-6bd6beac1da76b2d2a9c3b7914ba034c.pdf,"5,39,56,060","Unlisted equity shar...Unlisted equity shares of Khandepar Investments Private
Limited",18-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667449676_2399.pdf
Issue of Auction Notice,03-11-2022,Sunil Hitech Engineers Limited,29-11-2022,Mr. Avil Jerome Menezes,https://ibbi.gov.in/uploads/auction_notice_liquidation/fd14ebc6983cf3f598c630b918e44088.pdf,"28,10,00,000","Option A)
Sale of C...Option A)
Sale of Corporate Debtor as a whole on a going concern basis including Land and Building, Plant & Machinery, Financial Assets, Ongoing/upcoming Legal matters and Ongoing/ upcoming Arbitration Matters (Under regulation 32(e) of Liquidation Regulations, 2016)
Option B)
1. Assignment of Not Readily Realisable Assets- Identified ongoing and upcoming arbitration matters and other litigations with Hon'ble NCLT
2. Honda City UP 83 AQ 3771 at Firozabad, UP
3. Assignment of Not Readily Realisable Assets- Contract Receivables with all rights and interests including Rights of Litigation",25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667460423_2400.pdf
Issue of Auction Notice,03-11-2022,BETON CONCRETE PRODUCTS PRIVATE LIMITED,20-12-2022,Ms. Anagha Anasingaraju,https://ibbi.gov.in/uploads/auction_notice_liquidation/02e6762c572e65dcdbf57b43705aa3a7.pdf,"3,50,00,000",Joint auction of Bui...Joint auction of Building and Shed of the CD situated on the land belonging to the personal guarantor of the CD under possession of the secured creditor,19-12-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667460901_2401.pdf
Issue of Auction Notice,03-11-2022,BETON CONCRETE PRODUCTS PRIVATE LIMITED,15-11-2022,Ms. Anagha Anasingaraju,https://ibbi.gov.in/uploads/auction_notice_liquidation/37f40bb59fe634e985f063c74dfaf2a5.pdf,"37,67,750",Plant and Machinery,14-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667461344_2402.pdf
Issue of Auction Notice,03-11-2022,OSWAL SPINNING AND WEAVING MILLS LTD,01-12-2022,Mr. Hemanshu Jetley,https://ibbi.gov.in/uploads/auction_notice_liquidation/7938ad049c9fbf85462b9346d063dd81.pdf,"82,500",INVESTMENTS- 125160 ...INVESTMENTS- 125160 EQUITY SHARES OF OSWAL WORSTED SPINNERS LTD OF RS. 10 EACH,29-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667473662_2404.pdf
Issue of Auction Notice,03-11-2022,OSWAL SPINNING AND WEAVING MILLS LTD,01-12-2022,Mr. Hemanshu Jetley,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-03-164014-34ejg-7938ad049c9fbf85462b9346d063dd81.pdf,"49,000",(VEHICLE) HONDA CITY...(VEHICLE) HONDA CITY- 2008 MODEL (WHITE),29-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667473814_2405.pdf
Issue of Auction Notice,03-11-2022,OSWAL SPINNING AND WEAVING MILLS LTD,01-12-2022,Mr. Hemanshu Jetley,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-03-164144-2voqw-7938ad049c9fbf85462b9346d063dd81.pdf,"57,000",(VEHICLE)- MARUTI SW...(VEHICLE)- MARUTI SWIFT- 2008 MODEL (SILVER),29-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667473904_2406.pdf
Issue of Auction Notice,03-11-2022,OSWAL SPINNING AND WEAVING MILLS LTD,01-12-2022,Mr. Hemanshu Jetley,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-03-165214-67guw-7938ad049c9fbf85462b9346d063dd81.pdf,"1,550",SCOOTER- BAJAJ CHETA...SCOOTER- BAJAJ CHETAK,29-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667474534_2407.pdf
Issue of Auction Notice,03-11-2022,OSWAL SPINNING AND WEAVING MILLS LTD,01-12-2022,Mr. Hemanshu Jetley,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-03-165322-on3cp-7938ad049c9fbf85462b9346d063dd81.pdf,"1,550",SCOOTER- BAJAJ CHETA...SCOOTER- BAJAJ CHETAK,29-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667474602_2408.pdf
Issue of Auction Notice,03-11-2022,SHREE RAGHUVANSHI FIBERS PRIVATE LIMITED,25-11-2022,Mr. Jaykumar Pesumal Arlani,https://ibbi.gov.in/uploads/auction_notice_liquidation/cebb94dfb08c2228b8326229d5e19567.pdf,"12,40,00,000",Company as going con...Company as going concern,23-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667477384_2409.pdf
Issue of Auction Notice,02-11-2022,Om Shakthi Renergies Limited,19-11-2022,Mr. Chillale Rajesh,https://ibbi.gov.in/uploads/auction_notice_liquidation/4f6ea18767b708c5b59fafff1831c571.pdf,"1,78,00,000","M/s. Om Shakthi Rene...M/s. Om Shakthi Renergies Limited (In Liquidation)  - as a going concern Under Regulation 32(e) of the IBBI (Liquidation Process) Regulations, 2016 on “As is where is, as is what is, whatever there is and without recourse basis”",17-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667358315_2394.pdf
Issue of Auction Notice,02-11-2022,Powai Cubicles Private Limited,30-11-2022,Mr. Umang Subhashchandra Khandelwal,https://ibbi.gov.in/uploads/auction_notice_liquidation/3ebb626ff275e7db41c9fee01bcb1ff6.pdf,"8,32,17,000","Sale of set of asset...Sale of set of assets of Company pursuant to Regulation 32(c) of IBBI (Liquidation Process) Regulations, 2016.",27-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667380455_2395.pdf
Issue of Auction Notice,02-11-2022,CHARBHUJA INDUSTRIES PRIVATE LIMITED,05-12-2022,Mr. Anil Goel,https://ibbi.gov.in/uploads/auction_notice_liquidation/b791e09811e4288dc199d3be289c1fb9.pdf,"1,27,00,000",Leasehold Land,03-12-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667388437_2396.pdf
Issue of Auction Notice,02-11-2022,Anjali Waterford Hospitality and Infra Limited,28-11-2022,Mr. Pradeep Kumar Sravanam,https://ibbi.gov.in/uploads/auction_notice_liquidation/710a2fc2c58364bf4950d48995848a97.PDF,"3,05,00,000",Open Land and buildi...Open Land and building structures,26-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667391677_2397.pdf
Issue of Auction Notice,02-11-2022,Shamken Cotsyn Limited,02-12-2022,Mr. Sanjay Gupta,https://ibbi.gov.in/uploads/auction_notice_liquidation/8d984152bd45ada9e0c57b8b54de0aff.pdf,"37,15,00,000","1.Leasehold rights o...1.Leasehold rights of Industrial Land (Leased by UPSIDC) and Building including Plant & Machinery (Total Land Area: Approx.13,908 Sq.Mtrs)

2. Leasehold rights of Industrial Land (Leased by NOIDA) and Buildings (Total Land Area: Approx. 11,400 Sq.Mtrs)",30-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667394828_2398.pdf
Issue of Auction Notice,01-11-2022,SUPREME TEX MART LIMITED,01-12-2022,Mr. Ravinder Kumar Goel,https://ibbi.gov.in/uploads/auction_notice_liquidation/03dc9365cfc408a1cf93c810678a897f.pdf,"2,52,96,000",Receivables and Long...Receivables and Long Term Loans of the CD,29-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667279059_2387.pdf
Issue of Auction Notice,01-11-2022,M/s MARGRA INDUSTRIES LIMITED,11-11-2022,Mr. Paramjeet Singh Bhatia,https://ibbi.gov.in/uploads/auction_notice_liquidation/9d2d29797d892fac5cbe46caec2842d0.pdf,"10,20,000","Raw Material ,Scraps...Raw Material ,Scraps including blocks of raw stone and broken tiles.",09-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667290389_2388.pdf
Issue of Auction Notice,01-11-2022,ADI ISPAT PRIVATE LIMITED,28-11-2022,Mr. Daulat Ram Jain,https://ibbi.gov.in/uploads/auction_notice_liquidation/b2b5edb4d7205271bdf68e0a1a238810.pdf,"15,00,00,000",Induction Furnace wi...Induction Furnace with Rolling Mill,24-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667291767_2390.pdf
Issue of Auction Notice,01-11-2022,KOLKATA CONDUCTOR AND CABLES PRIVATE LIMITED,16-11-2022,Mr. Suman Kumar Agarwal,https://ibbi.gov.in/uploads/auction_notice_liquidation/890495316253333c64d914e2434b3cdd.pdf,"4,45,00,000","Industrial Land adme...Industrial Land admeasuring 20.59 Cottah along with Boundary Wall , Factory Shed etc.",14-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667296058_2392.pdf
Issue of Auction Notice,01-11-2022,TIRUPATI JUTE INDUSTRIES LIMITED,30-11-2022,Mr. Chhedi Rajbhar,https://ibbi.gov.in/uploads/auction_notice_liquidation/bbe1416afeb4a4faea5da5c508956c90.pdf,"28,00,00,000","Sale of the unit/bus...Sale of the unit/business/assets of the Corporate Debtor as a going concern basis on “AS IS WHERE IS, AS IS WHAT IS, WHATEVER THERE IS AND WITHOUT RECOURSE BASIS”.",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667303683_2393.pdf
Issue of Auction Notice,01-11-2022,EAST COAST ENERGY PRIVATE LIMITED,02-12-2022,Mr. Devendra Prasad,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-11-01-143739-ko6hs-1528d9600c29d49854cbbc6d70447b74.pdf,"21,45,00,000","Lot 1 – Land admea...Lot 1 – Land admeasuring 40.37 acres
including built in township and
construction
Lot 2 – Miscellaneous Assets including
Land at District Raigad, Maharashtra
admeasuring 176 Sq Mtrs",15-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667294288_758.pdf
Issue of Auction Notice,31-10-2022,NITHIN GRAINS AND MILLS PRIVATE LIMITED,07-11-2022,Mr. Immaneni Eswara Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/469560819ec53975494c99fa1e76ebc5.pdf,"2,91,60,000",Sale as a whole as a...Sale as a whole as a going concern,03-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667226143_2370.pdf
Issue of Auction Notice,31-10-2022,NITHIN NUTRITIONS PRIVATE LIMITED,07-11-2022,Mr. Immaneni Eswara Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-120218-aqcnz-469560819ec53975494c99fa1e76ebc5.pdf,"1,08,90,000",Sale as a whole as a...Sale as a whole as a going concern,03-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667226096_2371.pdf
Issue of Auction Notice,31-10-2022,NITHIN PROTEINS PRIVATE LIMITED,07-11-2022,Mr. Immaneni Eswara Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-120724-gydb8-469560819ec53975494c99fa1e76ebc5.pdf,"88,20,000",Sale as a whole as a...Sale as a whole as a going concern,03-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667221229_2372.pdf
Issue of Auction Notice,31-10-2022,RAMANASREE CONSUMER PRODUCTS PRIVATE PUBLIC LIMITED,07-11-2022,Mr. Immaneni Eswara Rao,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-121217-4h2sy-469560819ec53975494c99fa1e76ebc5.pdf,"5,00,000",Sale as a whole as a...Sale as a whole as a going concern,03-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667214865_2373.pdf
Corrigendum,31-10-2022,Propyl Packaging Ltd,10-11-2022,Mr. George Varkey,https://ibbi.gov.in/uploads/auction_notice_liquidation/b36d4abf116fb233e5b4768eec256c4f.pdf,"5,61,05,800","Land and Building
P...Land and Building
Plant and Machinery",07-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667203122_2374.pdf
Issue of Auction Notice,31-10-2022,ANIL LIMITED,25-11-2022,Mr. Ramchandra Dallaram Choudhary,https://ibbi.gov.in/uploads/auction_notice_liquidation/4c3f9513d6beacfa798a24c13c123d85.pdf,"3,48,00,00,000",Immovable Property-L...Immovable Property-Land,22-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667204846_2375.pdf
Issue of Auction Notice,31-10-2022,Idhasoft Limited,05-12-2022,Mr. Anjan Bhattacharya,https://ibbi.gov.in/uploads/auction_notice_liquidation/1482944b66c95039fe48512c635332dc.pdf,"2,10,500",Vacant Land,03-12-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667208615_2376.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/6b0313911b395fad1a06f653f827073a.pdf,"1,27,00,00,000","All assets of an und...All assets of an under construction thermal power plant (2 x 600 MW), including movable and immovable assets located at Tori, Dist. Latehar, Jharkhand and movable assets located at 5 CFS Locations at Kolkata",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667213943_2377.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-163101-radke-6b0313911b395fad1a06f653f827073a.pdf,"1,20,00,00,000","All assets of an und...All assets of an under construction thermal power plant (2 x 600 MW), including movable and immovable assets located at Tori, Dist. Latehar, Jharkhand",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667214120_2378.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-165416-7wcah-6b0313911b395fad1a06f653f827073a.pdf,"1,05,00,00,000","Entire plant and mac...Entire plant and machinery and other moveable assets of an under construction thermal power plant (2 x 600 MW), located at Tori, Dist. Latehar, Jharkhand",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667215546_2379.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-185128-uamg2-6b0313911b395fad1a06f653f827073a.pdf,"7,05,00,000","Plant and Machinery ...Plant and Machinery and other Movable Assets of the under construction thermal power plant (2 x 600 MW), located at 5 different Container Freight Stations",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667222609_2381.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-185556-pqmty-6b0313911b395fad1a06f653f827073a.pdf,"4,90,00,000","Plant and Machinery ...Plant and Machinery and other movable assets of the under construction thermal power plant (2 x 600 MW), located at CFS Century JJP, Kolkata",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667222840_2382.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-185943-cva57-6b0313911b395fad1a06f653f827073a.pdf,"1,85,00,000","Plant and Machinery ...Plant and Machinery and other movable assets of the under construction thermal power plant (2 x 600 MW), located at CFS Balmer Lawrie, Kolkata",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667223032_2383.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-190303-k7asz-6b0313911b395fad1a06f653f827073a.pdf,"21,60,000","Plant and Machinery ...Plant and Machinery and other movable assets of the under construction thermal power plant (2 x 600 MW), located at CFS Container Corporation of India Limited, Kolkata",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667223183_2384.pdf
Issue of Auction Notice,31-10-2022,Essar Power (Jharkhand) Limited,30-11-2022,Mr. Huzefa Fakhri Sitabkhan,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-31-190527-k76lb-6b0313911b395fad1a06f653f827073a.pdf,"11,00,000","Plant and Machinery ...Plant and Machinery and other movable assets of the under construction thermal power plant (2 x 600 MW), located at CFS Century Sonai, Kolkata",28-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667223327_2385.pdf
Issue of Auction Notice,29-10-2022,JVL Agro Industries Limited,02-12-2022,Mr. Supriyo Kumar Chaudhuri,https://ibbi.gov.in/uploads/auction_notice_liquidation/cea369d9465eb20884642f0a54342cfd.pdf,"61,19,07,000","Refined edible oil a...Refined edible oil and vanaspati mill, Rice mill, Freehold
land, Freehold Flat, Vehicles - Four Wheeler and Two Wheeler",30-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667041097_2367.pdf
Issue of Auction Notice,29-10-2022,Ultimo Fabrics Private Limited,14-11-2022,Ms. Mrudula Cletus Brodie,https://ibbi.gov.in/uploads/auction_notice_liquidation/8fcc51b643649e53c5eb322202b22df1.pdf,"16,16,62,500",Commercial Propertie...Commercial Properties,10-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1667044480_2368.pdf
Issue of Auction Notice,28-10-2022,EXCEL GLASSES LTD,23-11-2022,Mr. Ravindra Chaturvedi,https://ibbi.gov.in/uploads/auction_notice_liquidation/bc574c246401a404bf8378d90d008001.pdf,"72,00,00,000","Factory Land located...Factory Land located at Salem Kanyakumari Highway (NH-66), Dist. Alappuzha, Kerala 688521.
Total Land Area 69,694 sq. mtrs. (approx.) and additionally, a portion of adjoining land at the factory of approx. 1,841 sq. mtrs. (As informed and intimated by the Authority for Land Acquisition National Highway (LANH) at Kerala for taking over 0.0070 and 0.1832 hectares of the said factory land for widening of highway. Thus,
the land area to be reduced by approx. area of 1901 sq. mtrs.)",15-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666961674_2354.pdf
Issue of Auction Notice,28-10-2022,EXCEL GLASSES LTD,23-11-2022,Mr. Ravindra Chaturvedi,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-28-115054-p15kd-bc574c246401a404bf8378d90d008001.pdf,"1,14,00,000","Land opposite to Inf...Land opposite to Infocity Campus, Pallipuram Village,
Cherthala Taluk, Alappuzha, Kerala – 688541 – Land Area – 1.22 acres – 4,937 sq mts",15-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666961773_2355.pdf
Issue of Auction Notice,28-10-2022,EXCEL GLASSES LTD,23-11-2022,Mr. Ravindra Chaturvedi,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-28-115303-m7sw8-bc574c246401a404bf8378d90d008001.pdf,"1,17,00,000","Land opposite to KSI...Land opposite to KSIDC Industrial Growth Centre, Pallipuram Village, Cherthala Taluk, Alappuzha, Kerala–688541 -Land area–
1.25 acres-5,059 sq mt",15-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666961943_2356.pdf
Issue of Auction Notice,28-10-2022,Best Foods Limited,24-11-2022,Mr. Vikram Bajaj,https://ibbi.gov.in/uploads/auction_notice_liquidation/5577f6949a287f196521ffa4df9bf627.pdf,"1,33,17,00,000",Best Foods Ltd. – ...Best Foods Ltd. – As a Going Concern,22-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666941213_2357.pdf
Issue of Auction Notice,28-10-2022,Best Foods Limited,24-11-2022,Mr. Vikram Bajaj,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-28-125211-d0a2n-5577f6949a287f196521ffa4df9bf627.pdf,"7,03,00,000","Hamidpur Unit of Bes...Hamidpur Unit of Best Foods Ltd. Land (4840 sq. yds.)
Khasra No.440 (4-9), 441 (0-7) Building and Plant &
Machinery at Hamidpur, Delhi.",22-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666941732_2358.pdf
Issue of Auction Notice,28-10-2022,CITYLIFE RETAIL PRIVATE LIMITED,25-11-2022,Mr. Anneel Saraogi,https://ibbi.gov.in/uploads/auction_notice_liquidation/2022-10-28-132259-p5na9-c6faeabf890b1e465b9420f69c60d630.pdf,"26,11,77,000",Company as a whole b...Company as a whole being going concern,22-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666944103_2359.pdf
Issue of Auction Notice,28-10-2022,Woolways (India) Limited,27-11-2022,Mr. Sajeve Bhushan Deora,https://ibbi.gov.in/uploads/auction_notice_liquidation/4d710aa386de322079556376a7505d1d.pdf,"36,20,474","Land, Inventroy and ...Land, Inventroy and misc office equipments",25-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666946008_2360.pdf
Issue of Auction Notice,28-10-2022,Dev Denso Power Ltd,29-11-2022,Ms. Pooja Bahry,https://ibbi.gov.in/uploads/auction_notice_liquidation/766d2458799271f4bef1410ae50a5e79.pdf,"35,02,877","1 F CS- 41 B, FIRST ...1 F CS- 41 B, FIRST FLOOR, ANSAL PLAZA, SECTOR 1, VAISHALI, GHAZIABAD, MEASURING 714 SQ FEET (Super area)/ 503 SQ FEET (covered area), STANDING IN THE NAME OF M/S DEV DENSO POWER LTD",26-11-2022,https://ibbi.gov.in/uploads/auction_notice_liquidation/digital_pdf/LiqAN1666946521_2361.pdf
